POLLING_PLACE_CODE|POLLING_PLACE_NAME|POLLING_PLACE_ADDRESS|VOTER_NUMBER|CITY|DESCRIPTION|REGION_CODE|POLLING_PLACE_CUSTOM_CODE|GENERATED
1|ABANG ELEMENTARY SCHOOL|ABANG, BUCAY, ABRA|649|N/A|103001|61|1030003|0
2|BANGCAGAN ELEMENTARY SCHOOL|BANGCAGAN, BUCAY, ABRA|422|N/A|103003|62|1030005|0
3|CALAO ELEMENTARY SCHOOL|CALAO, BUCAY, ABRA|459|N/A|103006|63|1030008|0
4|MADALIPAY ELEMENTARY SCHOOL|MADALIPAY, BUCAY, ABRA|282|N/A|103009|64|1030013|0
5|TABIOG ELEMENTARY SCHOOL|TABIOG, BUCAY, ABRA|647|N/A|103015|65|1030017|0
6|LICUAN ELEMENTARY SCHOOL|POBLACION, LICUAN-BAAY, ABRA|528|N/A|113008|69|1130001|0
7|LENNENG ELEMENTARY SCHOOL|LENNENG, LUCUAN-BAAY, ABRA|284|N/A|113007|68|1130006|0
8|AMTUAGAN ELEMENTARY SCHOOL|AMTUAGAN, TUBO, ABRA|175|N/A|126002|70|1260004|0
9|LIKOWAN PRIMARY SCHOOL|AMTUAGAN, TUBO, ABRA|122|N/A|126006|70|1260005|0
10|TIEMPO ELEM. SCHOOL|TIEMPO, TUBO, ABRA|514|N/A|126009|71|1260010|0
11|PILOT ELEMENTARY SCHOOL|DOÑA RAMONA, ISABELA CITY|905|N/A|701032|72|7010001|0
12|BARANGAY HALL|BINUANGAN, ISABELA CITY|762|N/A|701002|73|7010010|0
13|TAMPALAN PRIMARY SCHOOL|TAMPALAN, ISABELA CITY|950|N/A|701041|74|7010018|0
14|ISABELA PILOT ELEMENTARY SCHOOL|DOÑA RAMONA, ISABELA CITY|756|N/A|701013|75|7010026|0
15|KUMALARANG ELEMENTARY SCHOOL|KUMALARANG, ISABELA CITY|665|N/A|701017|76|7010035|0
16|LUNOT PRIMARY SCHOOL|LUMBANG, ISABELA CITY|557|N/A|701024|77|7010044|0
17|MARKETSITE ELEMENTARY SCHOOL|MARKETSITE, ISABELA CITY|879|N/A|701028|78|7010050|0
18|PORT AREA ELEMENTARY SCHOOL|PORT AREA, ISABELA CITY|733|N/A|701033|79|7010057|0
19|SUMAGDANG PRIMARY SCHOOL|SUMAGDANG, ISABELA CITY|918|N/A|701037|80|7010067|0
