REGION_CODE,CATEGORY_CODE,REGION_NAME,REGION_TIME_ZONE,PROGRAMMING_UNIT_CODE,REGION_CUSTOM_CODE,BULK_ID
1,1,The Philippines,GMT_P08_BEIJING_CHONGQING_HONG_KONG_URUMQI,,0,4
2,2,ARMM,GMT_P08_BEIJING_CHONGQING_HONG_KONG_URUMQI,,9701000,4
3,2,CAR,GMT_P08_BEIJING_CHONGQING_HONG_KONG_URUMQI,,9702000,4
4,2,III,GMT_P08_BEIJING_CHONGQING_HONG_KONG_URUMQI,,9706000,4
5,2,IV-A,GMT_P08_BEIJING_CHONGQING_HONG_KONG_URUMQI,,9707000,4
6,2,NATIONAL CAPITAL REGION,GMT_P08_BEIJING_CHONGQING_HONG_KONG_URUMQI,,9710000,4
7,2,V,GMT_P08_BEIJING_CHONGQING_HONG_KONG_URUMQI,,9711000,4
8,2,XI,GMT_P08_BEIJING_CHONGQING_HONG_KONG_URUMQI,,9716000,4
9,2,XII,GMT_P08_BEIJING_CHONGQING_HONG_KONG_URUMQI,,9717000,4
10,2,OAV,GMT_P08_BEIJING_CHONGQING_HONG_KONG_URUMQI,,9718000,4
11,3,BASILAN,GMT_P08_BEIJING_CHONGQING_HONG_KONG_URUMQI,,700000,4
12,3,MAGUINDANAO,GMT_P08_BEIJING_CHONGQING_HONG_KONG_URUMQI,,3800000,4
13,3,ABRA,GMT_P08_BEIJING_CHONGQING_HONG_KONG_URUMQI,,100000,4
14,3,BENGUET,GMT_P08_BEIJING_CHONGQING_HONG_KONG_URUMQI,,1100000,4
15,3,BATAAN,GMT_P08_BEIJING_CHONGQING_HONG_KONG_URUMQI,,800000,4
16,3,BULACAN,GMT_P08_BEIJING_CHONGQING_HONG_KONG_URUMQI,,1400000,4
17,3,QUEZON,GMT_P08_BEIJING_CHONGQING_HONG_KONG_URUMQI,,5600000,4
18,3,RIZAL,GMT_P08_BEIJING_CHONGQING_HONG_KONG_URUMQI,,5800000,4
19,3,NATIONAL CAPITAL REGION - MANILA,GMT_P08_BEIJING_CHONGQING_HONG_KONG_URUMQI,,3900000,4
20,3,NATIONAL CAPITAL REGION - SECOND DISTRICT,GMT_P08_BEIJING_CHONGQING_HONG_KONG_URUMQI,,7400000,4
21,3,NATIONAL CAPITAL REGION - THIRD DISTRICT,GMT_P08_BEIJING_CHONGQING_HONG_KONG_URUMQI,,7500000,4
22,3,NATIONAL CAPITAL REGION - FOURTH DISTRICT,GMT_P08_BEIJING_CHONGQING_HONG_KONG_URUMQI,,7600000,4
23,3,TAGUIG-PATEROS,GMT_P08_BEIJING_CHONGQING_HONG_KONG_URUMQI,,9700011,4
24,3,SORSOGON,GMT_P08_BEIJING_CHONGQING_HONG_KONG_URUMQI,,6200000,4
25,3,DAVAO DEL SUR,GMT_P08_BEIJING_CHONGQING_HONG_KONG_URUMQI,,2400000,4
26,3,SOUTH COTABATO,GMT_P08_BEIJING_CHONGQING_HONG_KONG_URUMQI,,6300000,4
27,4,BUCAY,GMT_P08_BEIJING_CHONGQING_HONG_KONG_URUMQI,,103000,4
28,4,LICUAN-BAAY (LICUAN),GMT_P08_BEIJING_CHONGQING_HONG_KONG_URUMQI,,113000,4
29,4,TUBO,GMT_P08_BEIJING_CHONGQING_HONG_KONG_URUMQI,,126000,4
30,4,ISABELA  CITY,GMT_P08_BEIJING_CHONGQING_HONG_KONG_URUMQI,,701000,4
31,4,LAMITAN CITY,GMT_P08_BEIJING_CHONGQING_HONG_KONG_URUMQI,,702000,4
32,4,AKBAR,GMT_P08_BEIJING_CHONGQING_HONG_KONG_URUMQI,,708000,4
33,4,AL-BARKA,GMT_P08_BEIJING_CHONGQING_HONG_KONG_URUMQI,,709000,4
34,4,HERMOSA,GMT_P08_BEIJING_CHONGQING_HONG_KONG_URUMQI,,805000,4
35,4,SAMAL,GMT_P08_BEIJING_CHONGQING_HONG_KONG_URUMQI,,812000,4
36,4,BAGUIO CITY,GMT_P08_BEIJING_CHONGQING_HONG_KONG_URUMQI,,1102000,4
37,4,ITOGON,GMT_P08_BEIJING_CHONGQING_HONG_KONG_URUMQI,,1106000,4
38,4,TUBA,GMT_P08_BEIJING_CHONGQING_HONG_KONG_URUMQI,,1113000,4
39,4,BULACAN,GMT_P08_BEIJING_CHONGQING_HONG_KONG_URUMQI,,1405000,4
40,4,MALOLOS  CITY,GMT_P08_BEIJING_CHONGQING_HONG_KONG_URUMQI,,1410000,4
41,4,SAN JOSE DEL MONTE  CITY,GMT_P08_BEIJING_CHONGQING_HONG_KONG_URUMQI,,1420000,4
42,4,DAVAO CITY,GMT_P08_BEIJING_CHONGQING_HONG_KONG_URUMQI,,2402000,4
43,4,DIGOS  CITY,GMT_P08_BEIJING_CHONGQING_HONG_KONG_URUMQI,,2403000,4
44,4,COTABATO CITY,GMT_P08_BEIJING_CHONGQING_HONG_KONG_URUMQI,,3804000,4
45,4,TALAYAN,GMT_P08_BEIJING_CHONGQING_HONG_KONG_URUMQI,,3816000,4
46,4,INTRAMUROS,GMT_P08_BEIJING_CHONGQING_HONG_KONG_URUMQI,,3909000,4
47,4,PORT AREA,GMT_P08_BEIJING_CHONGQING_HONG_KONG_URUMQI,,3913000,4
48,4,GENERAL LUNA,GMT_P08_BEIJING_CHONGQING_HONG_KONG_URUMQI,,5616000,4
49,4,LUCENA CITY,GMT_P08_BEIJING_CHONGQING_HONG_KONG_URUMQI,,5624000,4
50,4,QUEZON,GMT_P08_BEIJING_CHONGQING_HONG_KONG_URUMQI,,5637000,4
51,4,CITY OF ANTIPOLO,GMT_P08_BEIJING_CHONGQING_HONG_KONG_URUMQI,,5802000,4
52,4,TAYTAY,GMT_P08_BEIJING_CHONGQING_HONG_KONG_URUMQI,,5813000,4
53,4,PRIETO DIAZ,GMT_P08_BEIJING_CHONGQING_HONG_KONG_URUMQI,,6214000,4
54,4,SORSOGON CITY,GMT_P08_BEIJING_CHONGQING_HONG_KONG_URUMQI,,6216000,4
55,4,LAKE SEBU,GMT_P08_BEIJING_CHONGQING_HONG_KONG_URUMQI,,6319000,4
56,4,QUEZON CITY,GMT_P08_BEIJING_CHONGQING_HONG_KONG_URUMQI,,7404000,4
57,4,MALABON CITY,GMT_P08_BEIJING_CHONGQING_HONG_KONG_URUMQI,,7502000,4
58,4,CITY OF MAKATI,GMT_P08_BEIJING_CHONGQING_HONG_KONG_URUMQI,,7602000,4
59,4,PATEROS,GMT_P08_BEIJING_CHONGQING_HONG_KONG_URUMQI,,7606000,4
60,4,TAGUIG CITY,GMT_P08_BEIJING_CHONGQING_HONG_KONG_URUMQI,,7607000,4
61,5,ABANG,GMT_P08_BEIJING_CHONGQING_HONG_KONG_URUMQI,1,103001,4
62,5,BANGCAGAN,GMT_P08_BEIJING_CHONGQING_HONG_KONG_URUMQI,2,103003,4
63,5,CALAO,GMT_P08_BEIJING_CHONGQING_HONG_KONG_URUMQI,3,103006,4
64,5,MADALIPAY,GMT_P08_BEIJING_CHONGQING_HONG_KONG_URUMQI,4,103010,4
65,5,PALAQUIO,GMT_P08_BEIJING_CHONGQING_HONG_KONG_URUMQI,5,103012,4
66,5,SALNEC,GMT_P08_BEIJING_CHONGQING_HONG_KONG_URUMQI,6,103019,4
67,5,TABIOG,GMT_P08_BEIJING_CHONGQING_HONG_KONG_URUMQI,7,103022,4
68,5,LENNENG,GMT_P08_BEIJING_CHONGQING_HONG_KONG_URUMQI,8,113005,4
69,5,POBLACION,GMT_P08_BEIJING_CHONGQING_HONG_KONG_URUMQI,9,113009,4
70,5,AMTUAGAN,GMT_P08_BEIJING_CHONGQING_HONG_KONG_URUMQI,10,126002,4
